identifier	slt	ink	demoted
0806.1585_EQ0225	0	3	no
0806.1585_EQ0227	0	0	no
0806.1585_EQ0230	0	4	no
0806.1585_EQ0231	0	1	no
0806.1585_EQ0232	0	1	no
0806.1585_EQ0234	0	2	no
0806.1585_EQ0240	0	3	no
0806.1585_EQ0241	0	1	no
0806.1585_EQ0242	0	3	no
0902.0431_EQ0001	0	0	no
0902.0431_EQ0003	0	0	no
0902.0431_EQ0004	0	2	no
0902.0431_EQ0005	0	25	no
0902.0431_EQ0011	0	0	no
0902.0431_EQ0012	0	1	no
0902.0431_EQ0015	0	1	no
0902.0431_EQ0019	0	2	no
0902.0431_EQ0022	0	1	no
0902.0431_EQ0023	0	27	no
0902.0431_EQ0025	0	12	no
0902.0431_EQ0031	0	1	no
0902.0431_EQ0036	0	0	no
0902.0431_EQ0039	0	0	no
0902.0431_EQ0042	0	0	no
0902.0431_EQ0050	0	17	no
0902.0431_EQ0055	0	23	no
0902.0431_EQ0061	0	0	no
0902.0431_EQ0062	0	0	no
0902.0431_EQ0065	0	10	no
0902.0431_EQ0068	0	6	no
0902.0431_EQ0073	0	18	no
0902.0431_EQ0078	0	1	no
0902.0431_EQ0087	0	20	no
0902.0431_EQ0091	0	26	no
0902.0431_EQ0094	0	15	no
0902.0431_EQ0096	0	0	no
0902.0431_EQ0098	0	0	no
0902.0431_EQ0099	0	0	no
0902.0431_EQ0100	0	0	no
0902.0431_EQ0104	0	0	no
0902.0431_EQ0111	0	0	no
0902.0431_EQ0112	0	0	no
0902.0431_EQ0114	0	0	no
0902.0431_EQ0116	0	0	no
0902.0431_EQ0117	0	3	no
0902.0431_EQ0121	0	8	no
0902.0431_EQ0122	0	0	no
0902.0431_EQ0125	0	2	no
0902.0431_EQ0127	0	7	no
0902.0431_EQ0133	0	4	no
0902.0431_EQ0134	0	3	no
0902.0431_EQ0136	0	43	no
0902.0431_EQ0137	0	0	no
0902.0431_EQ0138	0	1	no
0902.0431_EQ0141	0	0	no
0902.0431_EQ0143	0	0	no
0902.0431_EQ0144	0	1	no
0902.0431_EQ0152	0	29	no
0902.0431_EQ0155	0	1	no
0902.0431_EQ0156	0	1	no
0902.0431_EQ0166	0	0	no
0902.0431_EQ0167	0	0	no
0902.0431_EQ0184	0	2	no
0902.0431_EQ0185	0	26	no
0902.0431_EQ0186	0	0	no
0902.0431_EQ0188	0	1	no
0902.0431_EQ0189	0	16	no
0902.0431_EQ0190	0	2	no
0902.0431_EQ0191	0	0	no
0902.0431_EQ0196	0	0	no
0902.0431_EQ0200	0	1	no
0902.0431_EQ0203	0	0	no
0902.0431_EQ0204	0	0	no
0902.0431_EQ0205	0	15	no
0902.0431_EQ0207	0	0	no
0902.0431_EQ0208	0	14	no
0902.0431_EQ0209	0	4	no
0902.0431_EQ0210	0	1	no
0902.0431_EQ0214	0	0	no
0902.0431_EQ0217	0	1	no
0902.0431_EQ0248	0	0	no
0902.0431_EQ0249	0	0	no
0902.0431_EQ0251	0	1	no
0902.0431_EQ0255	0	17	no
0902.0431_EQ0256	0	14	no
0902.0431_EQ0259	0	0	no
0902.0431_EQ0261	0	0	no
0902.0431_EQ0262	0	7	no
0902.0431_EQ0263	0	0	no
0902.0431_EQ0265	0	1	no
